14 30 44 37 44 19 7 7 0 0 30 37 1.2333333333333334 2 3701.839 1
1 4 0 0 2 2 0 4 0 0 4 6 1.5 0 249.007 1
5 5 23 11 7 0 0 5 0 0 0 0 0.0 0 160.514 0
14 30 9 10 17 132 43 7 0 0 30 44 1.4666666666666666 1 12485.066 0
14 30 41 39 55 234 161 7 0 0 7 8 1.1428571428571428 1 1568.656 1
8 15 6 4 6 0 0 6 0 0 2 3 1.5 1 492.81 1
14 28 12 8 10 46 33 8 0 0 0 0 0.0 0 8407.775 1
13 29 8 8 15 11 7 14 169 0 2 5 2.5 0 14771.293 0
14 30 128 216 308 3801 2627 4 0 0 8 15 1.875 0 9117.654 1
11 25 15 17 17 7 5 5 0 0 8 8 1.0 6 2978.935 0
14 30 101 97 106 135 80 13 0 0 9 15 1.6666666666666667 3 6570.515 0
12 28 12 11 64 14 7 23 529 2 1 1 1.0 0 0.0 1
1 1 0 0 0 158 39 31 0 0 0 0 0.0 0 0.0 1
13 27 2 2 3 36 23 12 12 0 24 26 1.0833333333333333 1 349.418 1
6 16 6 5 6 2 0 5 0 0 2 2 1.0 1 0.0 1
3 3 0 0 0 0 0 10 24 29 1 1 1.0 0 0.0 0
14 30 64 73 83 19 4 6 0 0 30 71 2.3666666666666667 3 13457.267 0
6 9 0 1 1 34 13 7 0 0 1 2 2.0 0 294.609 0
1 1 4 2 1 0 0 10 0 0 0 0 0.0 0 0.0 0
14 28 16 15 18 6 2 7 0 0 2 2 1.0 2 1376.846 0
1 3 0 0 0 2 1 11 0 0 0 0 0.0 0 0.0 0
14 30 35 41 59 845 445 8 0 0 4 7 1.75 1 4863.287 0
8 18 3 3 11 14 5 17 634 0 0 0 0.0 0 0.0 1
1 3 0 0 0 2 0 10 0 0 0 0 0.0 0 0.0 0
4 11 0 0 3 34 29 9 10 0 8 13 1.625 2 0.0 1
5 7 1 1 1 5 0 19 0 0 0 0 0.0 0 0.0 1
14 30 90 108 140 391 215 5 0 0 27 42 1.5555555555555556 4 1263.8 1
8 22 27 17 27 148 0 5 0 1 5 5 1.0 0 0.0 1
14 30 74 63 97 4 2 7 0 0 5 5 1.0 4 8139.254 1
14 30 62 58 61 1 1 12 14 2 20 27 1.35 2 7267.203 0
5 9 0 0 0 37 10 8 0 0 1 1 1.0 0 0.0 0
14 30 70 82 105 5 5 10 0 0 28 34 1.2142857142857142 2 2523.473 1
